,author_id,text,edit_history_tweet_ids,created_at,id
0,1160250267910066176,RT @se____lene: This might be the best sejeong upgrade for me. From relying to government funded card for her meals before to donating 10M…,['1621885893190754306'],2023-02-04T14:58:24.000Z,1621885893190754306
1,56353724,RT @zotam2: Parece que vocês esqueceram que na PGR estão Lindôra Araújo e Augusto Aras que são bolsonaristas raízes... Estão até o talo env…,['1621885892448198659'],2023-02-04T14:58:24.000Z,1621885892448198659
2,3546374433,RT @StellaEscoTV: Dr. Robert Malone addresses the recent @Project_Veritas video that shows Pfizer executive concerned over women's reproduc…,['1621885891684728833'],2023-02-04T14:58:24.000Z,1621885891684728833
3,271183451,RT @manuelrico: Hoy hace 1.053 días que el Gobierno Ayuso aprobó el Protocolo que impedía trasladar al hospital a los residentes más vulner…,['1621885889583382531'],2023-02-04T14:58:23.000Z,1621885889583382531
4,1599839534069518342,@WHCOS Could it be from the 1 million deaths from covid last year Ron?,['1621885889545650177'],2023-02-04T14:58:23.000Z,1621885889545650177
5,1448824286853042177,"@EWoodhouse7 @81Hawks If you came into the hospital, you were placed in a room with a Covid positive person, tested repeatedly until it showed that you were Covid positive, then sedated, put on a vent, murdered.",['1621885887037726720'],2023-02-04T14:58:23.000Z,1621885887037726720
6,1168610862690721792,"RT @l_krishnan: Next up: Malaysia. Part of the announcement heard on the train: “Please wear a mask. Together, let’s break the chain of COV…",['1621885885925965826'],2023-02-04T14:58:23.000Z,1621885885925965826
7,43265919,"RT @P_McCulloughMD: Unfortunately, in California, 67% of 12- to 17-year-olds and 38% of children ages 5 to 11 have received two doses of th…",['1621885885229973504'],2023-02-04T14:58:22.000Z,1621885885229973504
8,1265634868094009347,"@Genflag @BallouxFrancois It seems you have your doubts, but yes - some are already underway for multivalent flu vaccines. 

And while there were some major deficiencies in how later boosters were approved, there were human trials for COVID mRNA vaccines for the primary series and initial booster.",['1621885882310467585'],2023-02-04T14:58:22.000Z,1621885882310467585
9,1342600383122841600,"RT @Un_EtreHumain: 🗣️""Il y a eu hécatombe nulle part !"" 

Pierre #Chaillot, statisticien et auteur du livre ""COVID 19: CE QUE REVELENT LES…",['1621885882180538368'],2023-02-04T14:58:22.000Z,1621885882180538368
